name;area_genre;rating;dinner_rating;lunch_rating;dinner_budget;lunch_budget;table;pr
ららもあ;（東新宿 / 和食（その他））;-;-;-;-;-;18席;
かぶら屋 新大久保店;（東新宿 / 居酒屋、焼きとん、串揚げ・串かつ）;3.03;3.03;-;￥1,000～￥1,999;-;31席／個室なし／全面喫煙可;
韓屋村;（西武新宿 / 韓国料理）;-;-;-;-;-;38席;
Kangaroo　Court　Decision;（新宿三丁目 / バー、郷土料理（その他）、カレーライス）;-;-;-;￥1,000～￥1,999;-;16席／個室あり(8人可)／全面喫煙可;
サビアンタイ;（東新宿 / タイ料理、タイカレー）;3.14;3.05;3.10;￥2,000～￥2,999;￥1,000～￥1,999;全面喫煙可;
ダックテイル;（西武新宿 / ダイニングバー）;-;-;-;-;-;;
飲食笑商何屋ねこ膳;（新宿三丁目 / 居酒屋、定食・食堂、弁当）;3.51;3.45;3.51;￥1,000～￥1,999; ～￥999;20席／個室なし／全面喫煙可;
フードランド;（東新宿 / インド料理、ネパール料理）;3.05;3.02;3.02;￥1,000～￥1,999;￥1,000～￥1,999;全面喫煙可;
沙介;（西武新宿 / 焼鳥）;-;-;-;-;-;全面喫煙可;
まっこち;（東新宿 / 韓国料理）;-;-;-;-;-;;
チャオ カフェ;（東新宿 / カフェ、喫茶店）;2.98;-;2.98;-; ～￥999;個室なし／全面喫煙可;
kayaチキン;（東新宿 / 韓国料理）;-;-;-;￥2,000～￥2,999;-;26席／個室なし／全面喫煙可;
ひさ;（東新宿 / 割烹・小料理）;-;-;-;-;-;;
天地創造;（東新宿 / 居酒屋）;-;-;-;-;-;;
リビハウス 新宿;（東新宿 / 韓国料理）;-;-;-;-;-;40席／個室なし／全面喫煙可;
鉄人;（東新宿 / 定食・食堂）;-;-;-; ～￥999;-;完全禁煙;
路;（東新宿 / 居酒屋）;3.01;3.01;-;￥2,000～￥2,999;-;;
お多福;（西武新宿 / 居酒屋、おでん）;3.00;3.00;-;￥4,000～￥4,999;-;37席／全面喫煙可;
岩崎塾 歌舞伎町店;（東新宿 / 焼肉、ホルモン）;-;-;-;-;-;80席／個室なし／全面喫煙可;
デジオッパ;（西武新宿 / 韓国料理）;3.04;3.01;3.03;￥1,000～￥1,999;￥1,000～￥1,999;;
居酒屋ホラナビ;（東新宿 / 居酒屋）;-;-;-;-;-;;
柳家;（東新宿 / 韓国料理）;3.00;3.00;-;￥3,000～￥3,999;-;;
きゃべつ;（新宿三丁目 / レストラン（その他））;-;-;-;-;-;;
台湾食堂 帆;（新大久保 / 台湾料理、餃子、中華粥）;3.24;3.24;3.18;￥3,000～￥3,999; ～￥999;20席／個室なし;
３丁目のちいさなパン屋さん;（新宿三丁目 / パン）;3.17;3.08;3.11; ～￥999; ～￥999;8席／個室なし／完全禁煙;
バベルハウス;（西武新宿 / イタリアン）;-;-;-;-;-;;
韓国料理　はんあり;（新大久保 / 焼肉）;3.03;3.03;3.00;￥2,000～￥2,999;￥1,000～￥1,999;;
すき家 大久保二丁目店 ;（東新宿 / 牛丼、カレーライス、定食・食堂）;3.00;-;3.00; ～￥999; ～￥999;完全禁煙;
